,Stop_ID,Stop_name,Line_ID,Average_headway,Average_dwell_time,Average_abs_schedule_deviation,Average_waiting_time_per_stop,Total_pass_boarding,Standard_deviation_headway,Standard_deviation_dwell_time,Share_on_time,Share_early,Share_late,Total_pass_riding_time,Total_pass_dwell_time,Total_pass_waiting_time,Total_pass_holding_time,Total_pass_weighted_in_vehicle_time,Unnamed: 18
5001,Isolatorweg,50,449.98400000000004,16.4693,0.11,0.0,17.8125,1.8169099999999998,1.38505,1.0,0.0,0.0,0.0,9922.52,128250.0,-2.96225e-11,0,0.0,
5002,Station_Sloterdijk,50,449.969,18.028,2.4831,0.0,37.5,3.85069,2.71487,1.0,0.0,0.0,57570.0,32142.0,270006.0,1.49756e-10,0,85226.4,
5003,Burg_De_Vlugtlaan,50,449.95300000000003,16.3735,4.27514,0.0,11.3438,5.56303,1.30166,1.0,0.0,0.0,158570.0,29501.4,81746.3,-1.57439e-11,0,178668.0,
5004,Jan_van_Galenstraat,50,450.13,16.4669,6.43038,0.0,15.0,7.3228,1.28325,1.0,0.0,0.0,173619.0,36000.7,104806.0,8.89848e-11,0,199139.0,
5005,Postjesweg,50,450.162,16.0065,8.813080000000001,0.0,4.19355,8.87411,1.01169,1.0,0.0,0.0,85690.0,32790.2,29307.9,-3.82638e-10,0,112556.0,
5006,Station_Lelylaan,50,450.195,16.6181,11.6023,0.0,18.3548,10.5479,1.40939,1.0,0.0,0.0,202707.0,44379.0,128323.0,-3.40812e-11,0,234732.0,
5007,Heemstedestraat,50,450.227,16.0398,14.0562,0.0,2.06452,12.06,0.9862549999999999,1.0,0.0,0.0,103976.0,37150.1,14398.0,-3.06239e-10,0,134070.0,
5008,Henk_Sneevlietweg,50,450.26,17.1042,16.9559,0.0,25.1613,13.790999999999999,1.7907099999999998,1.0,0.0,0.0,228866.0,54213.3,175771.0,-3.67137e-11,0,272356.0,
5009,Amstelreenseweg,50,450.63800000000003,16.7753,18.7275,0.0,11.3667,15.722999999999999,1.5009,1.0,0.0,0.0,474145.0,48960.8,76980.0,1.20803e-10,0,526133.0,
5010,Station_Zuid,50,450.689,17.9616,21.0921,8.8,22.8333,15.6189,2.39586,1.0,0.0,0.0,444682.0,54969.5,154429.0,2.0502400000000001e-10,0,474669.0,
5010,Station_Zuid,51,451.094,16.5558,58.6478,6.92857,17.9643,31.438000000000002,1.0848,0.5,0.5,0.0,546533.0,47467.4,113570.0,1.27514e-10,0,720650.0,
5011,Station_RAI,50,450.70300000000003,16.8024,22.1884,12.8333,9.66667,15.3706,1.54413,1.0,0.0,0.0,113529.0,42624.4,65433.6,1.6692399999999999e-10,0,148346.0,
5011,Station_RAI,51,451.162,16.9652,61.0919,4.32143,18.2857,31.6875,1.27231,0.5,0.5,0.0,113939.0,52675.8,115868.0,-1.3779900000000002e-10,0,211007.0,
5012,Overamstel,50,450.269,15.7565,24.0543,5.7931,3.3448300000000004,15.5666,1.0089700000000001,1.0,0.0,0.0,386376.0,35853.0,21955.2,-3.61661e-10,0,401118.0,
5012,Overamstel,51,451.17900000000003,16.1368,63.1367,2.42857,7.214289999999999,31.9208,1.18242,0.5,0.5,0.0,481521.0,50623.8,45856.9,1.7868900000000002e-10,0,689024.0,
5013,Van_der_Madeweg,50,450.0,16.369,55.5052,25.4483,3.68966,68.8384,0.99395,1.0,0.0,0.0,523281.0,28811.3,24867.0,2.13319e-10,0,524488.0,
5013,Van_der_Madeweg,253,447.236,16.4648,201.178,6.7333300000000005,24.9667,79.5545,0.9116920000000001,0.933333,0.0,0.0666667,440917.0,48916.5,173266.0,3.19492e-10,0,472754.0,
5013,Van_der_Madeweg,254,450.884,15.6369,214.278,11.1333,7.83333,84.0084,0.889576,0.9,0.0,0.1,433873.0,41120.3,51914.0,-6.456669999999999e-10,0,452831.0,
5014,Station_Duivendrecht,50,450.05300000000005,15.9675,54.3154,0.0,2.1724099999999997,68.6239,0.9451790000000001,1.0,0.0,0.0,70338.8,24578.0,13955.4,-3.34914e-11,0,90171.0,
5014,Station_Duivendrecht,254,450.939,15.7969,210.905,0.0,2.86667,83.9108,0.941941,0.9,0.0,0.1,105836.0,39030.7,18936.3,-7.05906e-11,0,143093.0,
5015,Strandvliet,50,454.164,15.9726,65.2642,0.0,2.6071400000000002,68.4516,0.973786,1.0,0.0,0.0,183060.0,23391.3,16277.0,1.6494400000000004e-10,0,196129.0,
5015,Strandvliet,254,452.545,15.8373,236.079,0.0,3.1724099999999997,86.9434,0.875207,0.793103,0.0,0.20689699999999997,309499.0,36545.5,20028.5,-6.19966e-11,0,340121.0,
5016,Station_Bijlmer_ArenA,50,450.65,17.4556,56.5215,0.0,6.35714,76.4042,1.2969,1.0,0.0,0.0,126241.0,18822.2,39642.5,-1.53106e-10,0,137810.0,
5016,Station_Bijlmer_ArenA,254,452.634,16.5259,259.79,0.0,15.3448,85.6314,1.28132,0.758621,0.0,0.241379,287282.0,30922.0,97566.0,-3.79021e-11,0,307251.0,
5017,Bullewijk,50,450.74300000000005,16.3865,167.5,0.0,1.35714,76.6157,0.9477909999999999,1.0,0.0,0.0,171042.0,15088.1,8383.44,8.89191e-11,0,176824.0,
5017,Bullewijk,254,452.796,15.8731,379.978,0.0,3.13793,85.8318,0.878868,0.0344828,0.0,0.965517,291687.0,24839.3,20304.2,-7.77263e-11,0,300700.0,
5018,Station_Holendrecht,50,452.724,16.5787,183.804,0.0,1.07407,81.4116,0.9984430000000001,1.0,0.0,0.0,109889.0,10704.9,6273.0,3.84386e-11,0,114564.0,
5018,Station_Holendrecht,254,454.205,15.9552,389.779,0.0,2.57143,85.1989,0.8779020000000001,0.0,0.0,1.0,172172.0,17667.9,15436.5,-6.11049e-11,0,180348.0,
5019,Reigersbos,50,452.564,16.5945,270.952,0.0,0.22222199999999998,77.632,0.957118,0.666667,0.0,0.333333,86142.1,5210.43,1111.0,-2.12168e-11,0,86784.9,
5019,Reigersbos,254,454.551,15.9472,483.779,0.0,0.464286,86.8466,0.899753,0.0,0.0,1.0,149540.0,8101.37,2676.5,-5.77334e-11,0,149759.0,
5020,Gein,50,452.724,16.456,287.767,0.0,0.0,78.6846,0.9870969999999999,0.518519,0.0,0.48148100000000005,37933.6,0.0,0.0,0.0,0,36036.9,
5020,Gein,254,454.205,15.908,495.314,0.0,0.0,82.7551,0.8845629999999999,0.0,0.0,1.0,58064.6,0.0,0.0,0.0,0,55161.4,
5101,Westwijk,51,449.98400000000004,17.1345,0.11042,0.0,27.875,2.1179200000000002,1.95365,1.0,0.0,0.0,0.0,16736.1,200700.0,-4.87788e-12,0,0.0,
5102,Sacharovlaan,51,449.969,15.7788,2.17401,0.0,3.53125,3.4757800000000003,0.945148,1.0,0.0,0.0,36572.0,15833.0,25446.7,-2.80647e-11,0,49784.7,
5103,Spinnerij,51,450.097,15.7402,4.92556,0.0,1.6774200000000001,4.981269999999999,0.922861,1.0,0.0,0.0,40549.0,16462.9,11706.6,-1.5284e-10,0,54161.3,
5104,Poortwachter,51,450.13,15.8077,8.09967,0.0,3.6129,6.568630000000001,0.9452010000000001,1.0,0.0,0.0,104939.0,18147.2,25203.8,-1.1501000000000001e-10,0,116932.0,
5105,Brink,51,450.162,15.7025,11.292,0.0,0.741935,8.117569999999999,0.916061,1.0,0.0,0.0,46576.0,18217.1,5166.99,-5.10081e-11,0,61553.4,
5106,Meent,51,450.195,15.7168,14.5894,0.0,0.8709680000000001,9.71671,0.9314049999999999,1.0,0.0,0.0,47355.0,18409.6,6094.54,-2.02958e-10,0,62476.4,
5107,Gondel,51,450.227,15.7103,17.8727,0.0,1.16129,11.3343,0.934983,1.0,0.0,0.0,47765.0,18861.8,8180.21,-8.33627e-11,0,63295.5,
5108,Marne,51,450.26,15.702,21.1623,0.0,0.7741939999999999,12.9694,0.9403040000000001,1.0,0.0,0.0,48954.0,19166.0,5420.88,-2.3922e-10,0,64714.0,
5109,Sportlaan,51,450.292,15.8316,24.4603,0.0,4.06452,14.47,0.8979450000000001,1.0,0.0,0.0,49774.0,20982.0,28320.2,-2.32138e-10,0,67218.2,
5110,Ouderkerkerlaan,51,450.709,15.91,27.5791,0.0,5.5,16.2636,1.0110700000000001,1.0,0.0,0.0,53669.0,23200.1,37249.3,-1.4588900000000002e-10,0,73025.6,
5111,Amstelveen_centrum,51,450.78,15.8087,30.6691,0.0,3.16667,17.9119,0.9758680000000001,1.0,0.0,0.0,144632.0,24001.9,21410.5,-1.37019e-10,0,160202.0,
5112,Oranjebaan,51,450.851,15.7842,33.8605,0.0,2.63333,19.5041,0.9319219999999999,1.0,0.0,0.0,61541.0,24684.7,17763.2,-2.9548299999999997e-10,0,81914.4,
5113,Onderuit,51,450.92199999999997,15.682,37.0762,0.0,0.43333299999999997,21.1349,0.942724,1.0,0.0,0.0,63427.0,24560.5,2954.88,-7.70051e-11,0,83588.1,
5114,Zonnestein,51,450.99300000000005,15.7448,40.3943,0.0,1.6,22.7721,0.948946,0.966667,0.0333333,0.0,63878.0,24736.1,10918.3,6.18297e-11,0,84183.4,
5115,Kronenburg,51,451.064,15.7803,43.6495,0.0,3.23333,24.3755,0.9492209999999999,0.933333,0.0666667,0.0,63796.0,26043.3,21816.7,-1.9746e-11,0,85347.3,
5116,Uilenstede,51,450.339,15.7583,47.349,0.0,3.7586199999999996,26.0872,0.9223629999999999,0.793103,0.20689699999999997,0.0,164731.0,27416.3,24601.9,-1.44791e-11,0,182540.0,
5117,Van_Boshuizenstraat,51,450.361,15.8752,50.5908,0.0,5.51724,27.6616,0.973368,0.7241380000000001,0.275862,0.0,70356.0,29432.4,36025.8,2.08065e-10,0,95294.1,
5118,A.J._Ernststraat,51,450.38199999999995,15.8662,53.7156,0.0,5.68966,29.2187,0.93968,0.517241,0.482759,0.0,183517.0,31446.1,37199.4,1.26304e-10,0,209783.0,
5119,De_Boelelaan/VU,51,450.403,16.858,56.8494,0.0,21.4138,30.7179,1.55055,0.482759,0.517241,0.0,80032.0,44029.1,140017.0,-6.56577e-11,0,135694.0,
5120,Spaklerweg,51,453.686,15.9057,42.5967,0.0,4.92593,65.8586,0.9504610000000001,0.9629629999999999,0.037037,0.0,733615.0,49230.5,28998.0,-2.9538299999999994e-10,0,1033440.0,
5120,Spaklerweg,53,450.342,15.8163,21.256999999999998,0.0,5.33333,9.69744,0.791986,1.0,0.0,0.0,199273.0,33114.3,36071.7,2.92584e-11,0,220768.0,
5120,Spaklerweg,54,450.05,15.5647,22.6705,0.0,5.4,5.27663,0.771378,1.0,0.0,0.0,372185.0,59639.7,36466.0,4.35385e-12,0,556097.0,
5121,Amstelstation,51,453.69,16.4768,42.6559,0.0,9.48148,65.3347,1.29065,0.9629629999999999,0.037037,0.0,126649.0,47399.5,53767.3,6.70664e-10,0,225888.0,
5121,Amstelstation,53,450.213,16.2025,24.4406,0.0,12.6,9.69465,1.4352,1.0,0.0,0.0,85403.0,33794.0,85378.7,-1.9014700000000004e-10,0,113237.0,
5121,Amstelstation,54,450.085,15.8388,26.1057,0.0,10.9667,5.29954,0.8426549999999999,1.0,0.0,0.0,155349.0,55465.0,74034.8,4.22927e-10,0,270042.0,
5122,Wibautstraat,51,453.75300000000004,16.1474,42.4158,0.0,7.77778,65.3029,1.05142,0.925926,0.0740741,0.0,282295.0,44683.9,45857.9,-1.36454e-10,0,411039.0,
5122,Wibautstraat,53,450.16,15.8253,27.2382,0.0,10.8,9.46068,0.8267690000000001,1.0,0.0,0.0,202606.0,34623.2,73057.4,1.42641e-12,0,226065.0,
5122,Wibautstraat,54,450.089,15.8028,29.267,0.0,9.26667,5.56858,0.819997,1.0,0.0,0.0,345319.0,55846.5,62636.6,6.04755e-10,0,498128.0,
5123,Weesperplein,51,453.80300000000005,17.1542,42.3362,0.0,18.7778,64.91199999999999,2.06281,0.851852,0.148148,0.0,111028.0,49651.3,109438.0,-4.31159e-10,0,198528.0,
5123,Weesperplein,53,450.12,16.6428,30.4128,0.0,25.1667,9.42177,1.27068,1.0,0.0,0.0,89421.0,40862.9,170401.0,3.8288300000000005e-10,0,133429.0,
5123,Weesperplein,54,450.19800000000004,16.495,32.1763,0.0,24.0,5.732480000000001,1.34643,1.0,0.0,0.0,140630.0,53264.3,156877.0,1.18595e-10,0,235735.0,
5124,Waterlooplein,51,452.23400000000004,16.298,41.8308,0.0,8.96154,65.6967,1.1929100000000001,0.8461540000000001,0.153846,0.0,273104.0,45057.8,51394.3,4.27855e-10,0,386627.0,
5124,Waterlooplein,53,450.069,16.089000000000002,32.77,0.0,12.4333,10.0091,1.20112,1.0,0.0,0.0,234421.0,41772.4,84178.6,-2.2801800000000001e-10,0,315842.0,
5124,Waterlooplein,54,450.221,15.8572,34.6813,0.0,11.069,6.29922,0.908056,1.0,0.0,0.0,308959.0,49201.1,72455.7,5.5438e-10,0,408191.0,
5125,Nieuwmarkt,51,452.332,16.9337,42.0661,0.0,2.65385,65.9653,1.5185899999999999,0.8461540000000001,0.153846,0.0,109306.0,30851.6,15165.2,-1.1043799999999999e-10,0,167084.0,
5125,Nieuwmarkt,53,449.712,16.2012,35.7183,0.0,3.4482800000000005,10.2055,1.06269,1.0,0.0,0.0,102008.0,30057.8,22590.7,2.8725599999999996e-10,0,148746.0,
5125,Nieuwmarkt,54,450.264,16.0531,37.8241,0.0,3.2758599999999998,6.9966800000000005,1.08721,1.0,0.0,0.0,124927.0,34710.7,21400.7,2.56593e-10,0,175519.0,
5126,Centraal_Station,51,452.43,18.2486,42.7331,0.0,0.0,66.2362,2.3702799999999997,0.807692,0.19230799999999998,0.0,172483.0,0.0,0.0,0.0,0,186094.0,
5126,Centraal_Station,53,449.655,16.7098,39.5271,0.0,0.0,11.2085,1.8132,1.0,0.0,0.0,179082.0,0.0,0.0,0.0,0,170128.0,
5126,Centraal_Station,54,450.30800000000005,16.7516,41.781000000000006,0.0,0.0,7.58178,1.5701100000000001,1.0,0.0,0.0,210179.0,0.0,0.0,0.0,0,199670.0,
5301,Gaasperplas,53,449.98400000000004,15.7537,0.11095999999999999,0.0,7.15625,1.5895,0.936632,1.0,0.0,0.0,0.0,3645.57,51525.0,-1.74083e-11,0,0.0,
5302,Kraaiennest_station,53,449.969,15.7439,3.13538,0.0,5.9375,3.16771,0.941579,1.0,0.0,0.0,9389.0,6573.17,42739.7,-3.4763300000000004e-12,0,15164.1,
5303,Station_Ganzenhoef,53,450.097,15.9164,6.3007800000000005,0.0,11.7097,4.74903,0.94781,1.0,0.0,0.0,41814.0,12086.5,81709.1,-8.57376e-11,0,51205.5,
5304,Verrijn_Stuartweg,53,450.13,15.9429,9.38437,0.0,13.7742,6.3541,0.9726520000000001,1.0,0.0,0.0,30668.0,18952.1,96123.7,-2.17e-11,0,47139.1,
5305,Station_Diemen-Zuid,53,450.162,15.9114,12.4414,0.0,10.8387,7.92172,0.949851,1.0,0.0,0.0,117968.0,22852.0,75579.4,1.58451e-11,0,133779.0,
